Removed Pin From Net: NetName=GND Pin=U3-1
Removed Pin From Net: NetName=NetU1_7 Pin=U3-2
Removed Pin From Net: NetName=GND Pin=U4-1
Removed Pin From Net: NetName=NetLNA1_2 Pin=U4-2
Removed Pin From Net: NetName=VCC Pin=U?-2
Removed Member From Class: ClassName=LNBF Member=U3
Removed Member From Class: ClassName=LNBF Member=U4
Change Component Footprint: Designator=J4 Old Footprint=694102107102 New Footprint=694102107102
Change Component Footprint: Designator=U? Old Footprint=NDE0003A New Footprint=LTC5549IUDBTRMPBF_ADI
Change Component Comment : Designator=U? Old Comment=LM1085IT-3.3/NOPB New Comment=TC5549IUDB#TRMPBF
Change Component Designator: OldDesignator=LO NewDesignator=J3
Change Component Designator: OldDesignator=Output IF NewDesignator=J1
Change Component Designator: OldDesignator=X-Band NewDesignator=J2
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=26B44634-8B52-444B-A9FC-7D6CF94F0DE0 New ItemGUID= Old RevisionGUID=02C83B09-E1AE-4EE7-911A-F0F10F863B0D New RevisionGUID=
Change component parameters: Designator = "U?" ("U?"); Footprint = "NDE0003A"; UniqueID = "\MOGPNUIW" ("\MOGPNUIW")
Add component (AddParameter): Name = "Mouser Description"; Value = "RF Connectors / Coaxial Connectors SMA Straight Edge Mount PCB Jack-Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/empcb.smafstj.b.ht-taoglas-24204431"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.62mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "335V"; VariantName = "[No Variations]"
Added Component: Designator=J?(MOLX-731000114_V)
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.molex.com/webdocs/datasheets/pdf/en-us/0731000114_RF_COAX_CONNECTORS.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.molex.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "5-Pin Through Hole Device, Body 14.8 x 6.35 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "731000114"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package URL"; Value = "http://www.molex.com/pdm_docs/sd/731000114_sd.pdf"; VariantName = "[No Variations]"
Added Component: Designator=J?(FP-EMPCB_SMAFSTJ_B_HT-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://cdn.taoglas.com/datasheets/EMPCB.SMAFSTJ.B.HT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "RF / Coaxial Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN SMA JACK STR 50OHM EDGE MNT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "12.4GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Impedance"; Value = "50O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Is Female"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taoglas Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EMPCB.SMAFSTJ.B.HT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "RF Connectors / Coaxial Connectors SMA Straight Edge Mount PCB Jack-Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/empcb.smafstj.b.ht-taoglas-24204431"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.62mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "335V"; VariantName = "[No Variations]"
Added Component: Designator=U?(DBV5)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2024 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "TLV70133DBVRM3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mfr_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "DEV"; VariantName = "[No Variations]"
Added Component: Designator=U?(DBV5)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2024 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "TLV70133DBVRM3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mfr_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "DEV"; VariantName = "[No Variations]"
Added Component: Designator=U?(DBV5)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2024 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "TLV70133DBVRM3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mfr_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "DEV"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=VCC Pin=C?-1
Added Pin To Net: NetName=VCC Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=J4-1
Added Pin To Net: NetName=GND Pin=J4-1
Added Pin To Net: NetName=GND Pin=J?-2
Added Pin To Net: NetName=GND Pin=J?-2
Added Pin To Net: NetName=GND Pin=J?-3
Added Pin To Net: NetName=GND Pin=J?-3
Added Pin To Net: NetName=GND Pin=J?-4
Added Pin To Net: NetName=GND Pin=J?-4
Added Pin To Net: NetName=GND Pin=J?-5
Added Pin To Net: NetName=GND Pin=J?-5
Added Pin To Net: NetName=NetLNA1_2 Pin=U?-1
Added Pin To Net: NetName=VCC Pin=U?-1
Added Pin To Net: NetName=GND Pin=U?-2
Added Pin To Net: NetName=GND Pin=U?-2
Added Pin To Net: NetName=GND Pin=U?-2
Added Pin To Net: NetName=GND Pin=U?-3
Added Pin To Net: NetName=GND Pin=U?-3
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-6
Added Pin To Net: NetName=VCC Pin=U?-9
Added Pin To Net: NetName=GND Pin=U?-10
Added Pin To Net: NetName=GND Pin=U?-12
Added Pin To Net: NetName=GND Pin=U?-13
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=J?-1
Added Pin To Net: NetName=NetC?_1 Pin=U?-5
Added Net: Name=NetC?_1
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=J?-1
Added Pin To Net: NetName=NetC?_2 Pin=U?-11
Added Net: Name=NetC?_2
Added Pin To Net: NetName=NetJ?_2 Pin=J?-2
Added Pin To Net: NetName=NetJ?_2 Pin=J?-3
Added Pin To Net: NetName=NetJ?_2 Pin=J?-4
Added Pin To Net: NetName=NetJ?_2 Pin=J?-5
Added Net: Name=NetJ?_2
Added Pin To Net: NetName=NetU?_3 Pin=U?-3
Added Pin To Net: NetName=NetU?_3 Pin=U?-3
Added Net: Name=NetU?_3
Added Class: Name=20vbt-based-mixer
Added Member To Class: ClassName=LNBF Member=Component U? TLV70133DBVRM3
Added Member To Class: ClassName=LNBF Member=Component U? TLV70133DBVRM3
